Altium Designer Pick and Place Locations
D:\Users\Secondary\Documents\Projects\Archimajor\ProjectOutputs\Assembly\Archimajor_1.0a_PickPlace.csv

========================================================================================================================
File Design Information:

Date:       26/10/23
Time:       22:08
Revision:   17e1f21658f3bc5a184119147e84e01daad41587
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description","Ref-X(mil)","Ref-Y(mil)"
"D108","TVS 30V SMF","TopLayer","SMF","-1245.000","1752.000","180","TVS DIODE 30VWM 48.4VC SMF","-1245.000","1752.000"
"PTC1","0ZCF0110AF2A","TopLayer","PTC_0ZCF","-540.000","1670.000","180","PTC RESET FUSE 60V 1.1A 2920","-540.000","1670.000"
"H4","Standoff 2mm","TopLayer","STANDOFF_SMT-M2_5MM_TALL","-4156.354","1644.283","0","Round Standoff Threaded M2x0.4 Steel 0.197" (5.00mm)","-4116.000","1662.000"
"J23","Header 5X2","TopLayer","HDR2X5","-1018.102","1594.000","360","Header, 5-Pin, Dual row","-1218.102","1544.000"
"J20","PINHD-2X3","TopLayer","2X03","-6069.102","1622.000","270","CONN HEADER VERT 6POS GOLD","-6069.102","1622.000"
"R349","24R","TopLayer","R0402","-2287.153","1476.000","180","Res Thick Film 0402 24 Ohm 1% 0.063W","-2287.102","1476.000"
"R348","1k","TopLayer","R0402","-2923.051","1493.000","360","RES 0402 1k 63mW 1%","-2923.102","1493.000"
"R347","24R","TopLayer","R0402","-2676.051","1474.000","360","Res Thick Film 0402 24 Ohm 1% 0.063W","-2676.102","1474.000"
"R346","1k","TopLayer","R0402","-2821.102","1512.949","270","RES 0402 1k 63mW 1%","-2821.102","1513.000"
"R345","24R","TopLayer","R0402","-1460.051","1483.000","360","Res Thick Film 0402 24 Ohm 1% 0.063W","-1460.102","1483.000"
"R344","1k","TopLayer","R0402","-4147.153","1431.386","180","RES 0402 1k 63mW 1%","-4147.102","1431.386"
"R343","24R","TopLayer","R0402","-1539.051","1483.000","360","Res Thick Film 0402 24 Ohm 1% 0.063W","-1539.102","1483.000"
"R342","1k","TopLayer","R0402","-4147.153","1470.000","180","RES 0402 1k 63mW 1%","-4147.102","1470.000"
"R341","24R","TopLayer","R0402","-643.854","1479.765","360","Res Thick Film 0402 24 Ohm 1% 0.063W","-643.905","1479.765"
"R340","1k","TopLayer","R0402","-4490.153","1750.196","180","RES 0402 1k 63mW 1%","-4490.102","1750.196"
"R339","24R","TopLayer","R0402","-720.290","1479.765","360","Res Thick Film 0402 24 Ohm 1% 0.063W","-720.341","1479.765"
"R338","1k","TopLayer","R0402","-4396.153","1751.000","180","RES 0402 1k 63mW 1%","-4396.102","1751.000"
"R337","24R","TopLayer","R0402","171.898","1541.051","90","Res Thick Film 0402 24 Ohm 1% 0.063W","171.898","1541.000"
"R336","1k","TopLayer","R0402","-5705.153","1451.000","180","RES 0402 1k 63mW 1%","-5705.102","1451.000"
"R335","24R","TopLayer","R0402","90.949","1497.000","360","Res Thick Film 0402 24 Ohm 1% 0.063W","90.898","1497.000"
"R334","1k","TopLayer","R0402","-5556.051","1488.000","360","RES 0402 1k 63mW 1%","-5556.102","1488.000"
"R333","1k","TopLayer","R0402","-5055.521","1570.016","360","RES 0402 1k 63mW 1%","-5055.572","1570.016"
"R332","1k","TopLayer","R0402","-5466.051","1561.000","360","RES 0402 1k 63mW 1%","-5466.102","1561.000"
"R331","1k","TopLayer","R0402","-5055.419","1612.016","360","RES 0402 1k 63mW 1%","-5055.470","1612.016"
"R330","1k","TopLayer","R0402","-5466.051","1601.000","360","RES 0402 1k 63mW 1%","-5466.102","1601.000"
"R329","1k","TopLayer","R0402","-5055.521","1653.016","360","RES 0402 1k 63mW 1%","-5055.572","1653.016"
"R328","1k","TopLayer","R0402","-4606.102","2088.949","270","RES 0402 1k 63mW 1%","-4606.102","2089.000"
"R327","1k","TopLayer","R0402","-4742.029","1665.149","180","RES 0402 1k 63mW 1%","-4741.978","1665.149"
"R326","1k","TopLayer","R0402","-5055.521","1694.016","360","RES 0402 1k 63mW 1%","-5055.572","1694.016"
"R325","1k","TopLayer","R0402","-5542.051","1610.000","360","RES 0402 1k 63mW 1%","-5542.102","1610.000"
"R324","1k","TopLayer","R0402","-4833.927","1687.820","360","RES 0402 1k 63mW 1%","-4833.978","1687.820"
"R323","1k","TopLayer","R0402","-5131.051","1710.000","360","RES 0402 1k 63mW 1%","-5131.102","1710.000"
"R322","1k","TopLayer","R0402","-5509.051","1652.000","360","RES 0402 1k 63mW 1%","-5509.102","1652.000"
"R321","1k","TopLayer","R0402","-4741.927","1707.820","360","RES 0402 1k 63mW 1%","-4741.978","1707.820"
"R320","1k","TopLayer","R0402","-5055.521","1741.016","360","RES 0402 1k 63mW 1%","-5055.572","1741.016"
"R319","1k","TopLayer","R0402","-5479.051","1693.000","360","RES 0402 1k 63mW 1%","-5479.102","1693.000"
"R318","1k","TopLayer","R0402","-4833.927","1743.149","360","RES 0402 1k 63mW 1%","-4833.978","1743.149"
"R317","1k","TopLayer","R0402","-5132.051","1761.000","360","RES 0402 1k 63mW 1%","-5132.102","1761.000"
"R316","1k","TopLayer","R0402","-5466.051","1732.000","360","RES 0402 1k 63mW 1%","-5466.102","1732.000"
"R315","1k","TopLayer","R0402","-4751.927","1768.214","360","RES 0402 1k 63mW 1%","-4751.978","1768.214"
"R314","1k","TopLayer","R0402","-5055.521","1787.016","360","RES 0402 1k 63mW 1%","-5055.572","1787.016"
"R313","1k","TopLayer","R0402","-5466.051","1771.000","360","RES 0402 1k 63mW 1%","-5466.102","1771.000"
"R312","1k","TopLayer","R0402","-4833.281","1790.638","360","RES 0402 1k 63mW 1%","-4833.332","1790.638"
"R311","1k","TopLayer","R0402","-5130.051","1821.000","360","RES 0402 1k 63mW 1%","-5130.102","1821.000"
"R310","1k","TopLayer","R0402","-5466.051","1811.000","360","RES 0402 1k 63mW 1%","-5466.102","1811.000"
"R309","1k","TopLayer","R0402","-4752.281","1814.638","360","RES 0402 1k 63mW 1%","-4752.332","1814.638"
"R308","1k","TopLayer","R0402","-5055.521","1852.016","360","RES 0402 1k 63mW 1%","-5055.572","1852.016"
"R307","1k","TopLayer","R0402","-5466.051","1851.000","360","RES 0402 1k 63mW 1%","-5466.102","1851.000"
"R306","1k","TopLayer","R0402","-4832.927","1840.638","360","RES 0402 1k 63mW 1%","-4832.978","1840.638"
"R305","1k","TopLayer","R0402","-5129.051","1872.000","360","RES 0402 1k 63mW 1%","-5129.102","1872.000"
"R304","1k","TopLayer","R0402","-5696.849","1674.000","360","RES 0402 1k 63mW 1%","-5696.900","1674.000"
"R303","1k","TopLayer","R0402","-5696.849","1713.000","360","RES 0402 1k 63mW 1%","-5696.900","1713.000"
"R302","1k","TopLayer","R0402","-5773.051","1713.000","360","RES 0402 1k 63mW 1%","-5773.102","1713.000"
"R301","1k","TopLayer","R0402","-5697.051","1775.000","360","RES 0402 1k 63mW 1%","-5697.102","1775.000"
"R300","1k","TopLayer","R0402","-5773.051","1773.000","360","RES 0402 1k 63mW 1%","-5773.102","1773.000"
"R299","1k","TopLayer","R0402","-5697.051","1821.000","360","RES 0402 1k 63mW 1%","-5697.102","1821.000"
"R298","1k","TopLayer","R0402","-5697.051","1862.000","360","RES 0402 1k 63mW 1%","-5697.102","1862.000"
"R297","1k","TopLayer","R0402","-5466.051","1890.000","360","RES 0402 1k 63mW 1%","-5466.102","1890.000"
